,000,and,as,at,be,by,dlrs,for,from,he,in,is,it,its,mln,of,oil,on,pct,said,that,the,to,tonnes,was,wheat,will,with,would,year
reuters-topics/grain/article579.txt,0.0,0.15358670355849616,0.10867622058655237,0.0,0.0335518504676492,0.09121550958509053,0.0,0.07350908526223117,0.09280584203174426,0.0,0.29916253618472494,0.25474938606315634,0.09112339296707418,0.0,0.0,0.17172427254428138,0.0,0.15035117714616633,0.0,0.08631401603043724,0.06747111272358515,0.7986919826148013,0.25334843926960676,0.0,0.03347888611708755,0.0,0.06999412513758253,0.06897915676819316,0.03833454578150716,0.0
reuters-topics/grain/article545.txt,0.07646470319813377,0.17679739928037871,0.07297491092820928,0.060697269042505574,0.33794559004791186,0.0,0.0,0.09872111710313276,0.06231812276256164,0.0,0.046357942845075294,0.0,0.12237675269453177,0.14116057674824053,0.06924623151167525,0.38917461944337073,0.0,0.12115103415604683,0.0,0.08693839734692517,0.13591837518795868,0.5363130588809062,0.38277167996697203,0.1649453417920682,0.13488426736874057,0.0,0.2820018042499941,0.06947814057979063,0.07722370309107911,0.14891058200552446
reuters-topics/grain/article223.txt,0.0,0.0,0.0,0.0,0.0,0.09508645286211295,0.0,0.07662861505152056,0.29023282434599995,0.0,0.28786910530151916,0.0,0.09499042706017782,0.0,0.3224989530497269,0.1342588449664657,0.0,0.0,0.0,0.2699308589279429,0.10550161056043922,0.5123608265014633,0.3961498083693807,0.38409815868032104,0.10469892262166876,0.0,0.0,0.10785967268628599,0.0,0.11558633046745692
reuters-topics/grain/article237.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reuters-topics/grain/article551.txt,0.0,0.0,0.1045706227564011,0.0,0.19370592089577354,0.35107818769824556,0.0,0.0707320403915121,0.0,0.0,0.5314351347721888,0.1838440493489944,0.2630427309345254,0.0,0.0,0.18589143308999503,0.0,0.08680270334103658,0.11510089089721895,0.06228991742761489,0.29214977360010985,0.4729346426366204,0.24377737766179988,0.0,0.0,0.0,0.10102480398318393,0.0,0.0,0.0
reuters-topics/grain/article009.txt,0.0,0.07254954588476065,0.0,0.0,0.11094189933349102,0.0,0.12368891518012105,0.24306371850109323,0.10229000031034682,0.0,0.07609269627837022,0.10529367363484918,0.0,0.0,0.0,0.2839100778673009,0.0,0.0,0.0,0.2140531910471932,0.0,0.4740147731475474,0.3490487689698689,0.2707440197996005,0.11070063682420708,0.5557089842032346,0.11572060969389397,0.0,0.0,0.0
reuters-topics/grain/article021.txt,0.0,0.5065542479269566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531293174422484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4728083093122627,0.4874245165813012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reuters-topics/grain/article035.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9260855932196187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37731349569166855,0.0,0.0,0.0,0.0
reuters-topics/grain/article196.txt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reuters-topics/grain/article182.txt,0.2797913799023431,0.2425942276576932,0.0,0.0,0.12365739879537586,0.0,0.0,0.0,0.0,0.0,0.5088839263960211,0.0,0.11194694765128738,0.0,0.0,0.39556269916708553,0.0,0.11082569344211993,0.29391103176528666,0.23858669238372265,0.0,0.45286587605238104,0.15562186363439068,0.0,0.0,0.0,0.0,0.12711345243502523,0.0,0.13621937795739583
reuters-topics/grain/article169.txt,0.0,0.2827496609364327,0.1867324420454414,0.0,0.08647548110091641,0.0,0.0,0.0,0.07973161665513183,0.0,0.11862339762469826,0.24621863711975647,0.0,0.0,0.0,0.27662295219920097,0.0,0.07750207631820553,0.20553641044016785,0.055615755598794225,0.0,0.31669592670812413,0.3264861381212002,0.0,0.0,0.6497347086598338,0.09020032518543651,0.1777847029097997,0.0,0.0
reuters-topics/grain/article155.txt,0.0,0.0,0.0,0.13041062151376678,0.0,0.0,0.3238066563460846,0.21210644961533923,0.1338930935318635,0.0,0.0,0.0,0.0,0.0,0.0,0.27871931636909003,0.0,0.0,0.0,0.28018617501926674,0.0,0.4431888619469188,0.3655115403583559,0.1771959832644256,0.0,0.5455488911868808,0.0,0.0,0.0,0.0
reuters-topics/grain/article141.txt,0.0,0.028984158271015952,0.14356204628115807,0.15921132412193023,0.08864445752084203,0.0,0.0,0.06473734329702342,0.0817314435915754,0.0,0.18239806123973826,0.12619714421438805,0.0,0.04628371814011147,0.5903156640465623,0.19849284278427093,0.0,0.03972299098254698,0.0,0.142526772383999,0.26738943317641883,0.2975860140852588,0.1673375287039704,0.48674038428446925,0.0,0.0,0.0,0.0,0.10128040533520165,0.19529915687198565
reuters-topics/grain/article394.txt,0.0,0.06724079645939496,0.0,0.0,0.0,0.09318042860679744,0.0,0.22527774396212685,0.09480501920197747,0.0,0.1410493598575426,0.19517780272777824,0.0,0.21474862521402835,0.42137920830136977,0.13156760339320167,0.0,0.18430796067566457,0.0,0.1983900364249094,0.3101604380484628,0.5020904658623779,0.194104458759696,0.37639884521525413,0.1026002147614472,0.1287613666004896,0.0,0.0,0.0,0.0
